po_id;supplier_id;date_ordered;date_eta;date_arrived;signee_id;status
414;9;2019.10.22;NULL;NULL;NULL;Ordered
280;13;2018.11.28;2018.11.30;2018.12.01;6;Signed for
281;2;2019.01.18;2019.01.20;2019.01.21;16;Signed for
282;7;2018.12.29;2018.12.31;2019.01.01;38;Signed for
283;28;2019.01.17;2019.01.19;2019.01.20;1;Signed for
284;10;2019.01.28;2019.01.30;2019.01.31;18;Signed for
285;23;2019.02.07;2019.02.09;2019.02.10;38;Signed for
286;19;2018.12.25;2018.12.27;2018.12.28;33;Signed for
287;12;2019.02.10;2019.02.12;2019.02.13;20;Signed for
288;29;2019.05.18;2019.05.20;2019.05.21;2;Signed for
289;20;2018.11.04;2018.11.06;2018.11.07;41;Signed for
290;10;2018.11.23;2018.11.25;2018.11.26;50;Signed for
292;9;2018.11.15;2018.11.17;2018.11.18;31;Signed for
293;13;2019.04.12;2019.04.14;2019.04.15;16;Signed for
294;15;2018.12.03;2018.12.05;2018.12.06;22;Signed for
295;25;2019.02.06;2019.02.08;2019.02.09;34;Signed for
296;26;2019.06.11;2019.06.13;2019.06.14;26;Signed for
297;23;2019.04.18;2019.04.20;2019.04.21;16;Signed for
299;15;2019.02.28;2019.03.02;2019.03.03;21;Signed for
300;15;2019.06.19;2019.06.21;2019.06.22;35;Signed for
301;5;2018.11.25;2018.11.27;2018.11.28;17;Signed for
302;18;2019.02.08;2019.02.10;2019.02.11;10;Signed for
303;27;2019.05.13;2019.05.15;2019.05.16;38;Signed for
304;11;2019.05.06;2019.05.08;2019.05.09;22;Signed for
305;8;2018.12.07;2018.12.09;2018.12.10;32;Signed for
306;23;2019.03.30;2019.04.01;2019.04.02;21;Signed for
307;21;2019.06.03;2019.06.05;2019.06.06;38;Signed for
308;3;2019.06.17;2019.06.19;2019.06.20;3;Signed for
309;19;2018.11.11;2018.11.13;2018.11.14;15;Signed for
310;14;2019.03.30;2019.04.01;2019.04.02;48;Signed for
311;4;2019.06.20;2019.06.22;2019.06.23;14;Signed for
312;21;2019.01.18;2019.01.20;2019.01.21;10;Signed for
313;3;2019.07.02;2019.07.04;2019.07.05;10;Signed for
314;18;2019.02.05;2019.02.07;2019.02.08;13;Signed for
315;15;2019.01.12;2019.01.14;2019.01.15;26;Signed for
316;9;2019.01.31;2019.02.02;2019.02.03;42;Signed for
317;30;2019.04.25;2019.04.27;2019.04.28;14;Signed for
318;24;2019.05.26;2019.05.28;2019.05.29;41;Signed for
319;25;2019.05.14;2019.05.16;2019.05.17;24;Signed for
320;20;2019.06.05;2019.06.07;2019.06.08;24;Signed for
321;3;2018.12.14;2018.12.16;2018.12.17;21;Signed for
323;21;2019.03.07;2019.03.09;2019.03.10;23;Signed for
324;19;2018.12.28;2018.12.30;2018.12.31;9;Signed for
325;8;2019.07.28;2019.07.30;2019.07.31;31;Signed for
326;12;2019.02.05;2019.02.07;2019.02.08;23;Signed for
327;20;2019.02.25;2019.02.27;2019.02.28;13;Signed for
329;13;2019.07.04;2019.07.06;2019.07.07;28;Signed for
330;9;2018.11.28;2018.11.30;2018.12.01;7;Signed for
331;10;2019.01.22;2019.01.24;2019.01.25;25;Signed for
332;15;2019.02.09;2019.02.11;2019.02.12;1;Signed for
333;13;2018.12.11;2018.12.13;2018.12.14;39;Signed for
334;8;2019.03.05;2019.03.07;2019.03.08;18;Signed for
335;19;2018.12.05;2018.12.07;2018.12.08;41;Signed for
336;2;2019.01.27;2019.01.29;2019.01.30;31;Signed for
337;15;2018.12.12;2018.12.14;2018.12.15;9;Signed for
338;7;2019.07.22;2019.07.24;2019.07.25;6;Signed for
339;12;2019.02.14;2019.02.16;2019.02.17;27;Signed for
340;20;2019.01.12;2019.01.14;2019.01.15;3;Signed for
341;25;2019.05.08;2019.05.10;2019.05.11;16;Signed for
342;23;2019.01.06;2019.01.08;2019.01.09;27;Signed for
343;28;2019.01.27;2019.01.29;2019.01.30;43;Signed for
344;5;2019.02.11;2019.02.13;2019.02.14;16;Signed for
346;18;2019.08.04;2019.08.06;2019.08.07;41;Signed for
347;16;2019.08.03;2019.08.05;2019.08.06;17;Signed for
348;10;2019.01.04;2019.01.06;2019.01.07;30;Signed for
349;3;2019.03.02;2019.03.04;2019.03.05;15;Signed for
350;10;2019.05.29;2019.05.31;2019.06.01;38;Signed for
351;15;2018.12.28;2018.12.30;2018.12.31;49;Signed for
352;21;2019.06.07;2019.06.09;2019.06.10;36;Signed for
353;3;2019.08.14;2019.08.16;2019.08.17;14;Signed for
354;8;2019.02.06;2019.02.08;2019.02.09;49;Signed for
355;21;2019.04.16;2019.04.18;2019.04.19;24;Signed for
356;4;2019.02.24;2019.02.26;2019.02.27;42;Signed for
357;10;2019.04.22;2019.04.24;2019.04.25;5;Signed for
358;11;2019.08.24;2019.08.26;2019.08.27;2;Signed for
359;14;2019.06.01;2019.06.03;2019.06.04;37;Signed for
360;20;2019.06.22;2019.06.24;2019.06.25;19;Signed for
361;26;2019.02.04;2019.02.06;2019.02.07;22;Signed for
362;11;2019.07.26;2019.07.28;2019.07.29;17;Signed for
363;18;2019.08.03;2019.08.05;2019.08.06;24;Signed for
364;13;2019.04.16;2019.04.18;2019.04.19;33;Signed for
365;9;2019.08.24;2019.08.26;2019.08.27;15;Signed for
366;16;2019.01.03;2019.01.05;2019.01.06;47;Signed for
367;9;2019.03.30;2019.04.01;2019.04.02;49;Signed for
368;17;2019.07.03;2019.07.05;2019.07.06;43;Signed for
369;20;2019.08.02;2019.08.04;2019.08.05;48;Signed for
370;20;2019.06.05;2019.06.07;2019.06.08;44;Signed for
371;12;2019.08.17;2019.08.19;2019.08.20;22;Signed for
372;26;2019.09.10;2019.09.12;2019.09.13;35;Signed for
374;28;2019.08.29;2019.08.31;2019.09.01;34;Signed for
375;28;2019.03.19;2019.03.21;2019.03.22;40;Signed for
376;6;2019.01.18;2019.01.20;2019.01.21;49;Signed for
377;18;2019.08.26;2019.08.28;2019.08.29;19;Signed for
378;21;2019.04.07;2019.04.09;2019.04.10;27;Signed for
379;22;2019.09.10;2019.09.12;2019.09.13;50;Signed for
380;11;2019.02.10;2019.02.12;2019.02.13;3;Signed for
381;13;2019.06.26;2019.06.28;2019.06.29;47;Signed for
382;14;2019.03.25;2019.03.27;2019.03.28;19;Signed for
383;10;2019.07.19;2019.07.21;2019.07.22;33;Signed for
384;29;2019.07.27;2019.07.29;2019.07.30;20;Signed for
385;1;2019.05.23;2019.05.25;2019.05.26;34;Signed for
386;28;2019.08.08;2019.08.10;2019.08.11;42;Signed for
387;7;2019.09.27;2019.09.29;2019.09.30;45;Signed for
388;10;2019.06.19;2019.06.21;2019.06.22;18;Signed for
389;5;2019.05.14;2019.05.16;2019.05.17;21;Signed for
390;2;2019.09.11;2019.09.13;2019.09.14;16;Signed for
391;30;2019.07.26;2019.07.28;2019.07.29;32;Signed for
392;19;2019.08.21;2019.08.23;2019.08.24;2;Signed for
393;1;2019.06.27;2019.06.29;2019.06.30;24;Signed for
394;1;2019.06.14;2019.06.16;2019.06.17;48;Signed for
395;19;2019.08.10;2019.08.12;2019.08.13;40;Signed for
396;4;2019.05.31;2019.06.02;2019.06.03;21;Signed for
397;5;2019.06.08;2019.06.10;2019.06.11;47;Signed for
398;16;2019.06.23;2019.06.25;2019.06.26;19;Signed for
399;16;2019.02.28;2019.03.02;2019.03.03;21;Signed for
400;5;2019.10.09;2019.10.11;2019.10.12;23;Signed for
401;8;2019.04.01;2019.04.03;2019.04.04;24;Signed for
402;23;2019.07.21;2019.07.23;2019.07.24;11;Signed for
404;23;2019.04.12;2019.04.14;2019.04.15;45;Signed for
405;28;2019.06.20;2019.06.22;2019.06.23;4;Signed for
406;28;2019.06.02;2019.06.04;2019.06.05;22;Signed for
407;2;2019.05.15;2019.05.17;2019.05.18;50;Signed for
408;19;2019.09.01;2019.09.03;2019.09.04;44;Signed for
409;11;2019.08.03;2019.08.05;2019.08.06;43;Signed for
410;22;2019.04.25;2019.04.27;2019.04.28;4;Signed for
411;25;2019.02.23;2019.02.25;2019.02.26;50;Signed for
412;17;2019.04.19;2019.04.21;2019.04.22;26;Signed for
413;28;2019.03.11;2019.03.13;2019.03.14;16;Signed for
415;13;2019.08.30;2019.09.01;2019.09.02;15;Signed for
416;5;2019.10.28;2019.10.30;2019.10.31;50;Signed for
417;29;2019.07.14;2019.07.16;2019.07.17;7;Signed for
418;9;2019.02.25;2019.02.27;2019.02.28;3;Signed for
419;8;2019.05.27;2019.05.29;2019.05.30;9;Signed for
420;25;2019.10.28;2019.10.30;2019.10.31;3;Signed for
421;22;2019.06.28;2019.06.30;2019.07.01;45;Signed for
422;26;2019.05.06;2019.05.08;2019.05.09;46;Signed for
423;7;2019.07.22;2019.07.24;2019.07.25;5;Signed for
424;20;2019.10.10;2019.10.12;2019.10.13;3;Signed for
425;10;2019.05.12;2019.05.14;2019.05.15;48;Signed for
1;17;2018.01.25;2018.01.27;2018.01.28;5;Stocked
2;16;2018.05.30;2018.06.01;2018.06.02;44;Stocked
4;2;2018.04.29;2018.05.01;2018.05.02;31;Stocked
5;3;2018.02.04;2018.02.06;2018.02.07;40;Stocked
7;9;2018.04.16;2018.04.18;2018.04.19;18;Stocked
9;28;2018.09.11;2018.09.13;2018.09.14;14;Stocked
10;10;2018.03.18;2018.03.20;2018.03.21;42;Stocked
11;16;2018.02.19;2018.02.21;2018.02.22;40;Stocked
12;13;2018.08.04;2018.08.06;2018.08.07;37;Stocked
13;6;2018.09.10;2018.09.12;2018.09.13;17;Stocked
14;11;2018.07.29;2018.07.31;2018.08.01;23;Stocked
15;9;2018.05.11;2018.05.13;2018.05.14;44;Stocked
16;30;2018.09.10;2018.09.12;2018.09.13;45;Stocked
17;23;2018.08.17;2018.08.19;2018.08.20;21;Stocked
18;8;2018.03.16;2018.03.18;2018.03.19;6;Stocked
19;9;2018.09.16;2018.09.18;2018.09.19;41;Stocked
20;20;2018.08.23;2018.08.25;2018.08.26;2;Stocked
21;24;2018.07.15;2018.07.17;2018.07.18;6;Stocked
22;22;2018.04.04;2018.04.06;2018.04.07;24;Stocked
23;28;2018.09.22;2018.09.24;2018.09.25;24;Stocked
24;25;2018.02.22;2018.02.24;2018.02.25;8;Stocked
25;16;2018.08.01;2018.08.03;2018.08.04;15;Stocked
26;23;2018.09.06;2018.09.08;2018.09.09;19;Stocked
27;30;2018.03.25;2018.03.27;2018.03.28;1;Stocked
28;4;2018.05.30;2018.06.01;2018.06.02;2;Stocked
29;12;2018.03.17;2018.03.19;2018.03.20;18;Stocked
30;19;2018.05.02;2018.05.04;2018.05.05;13;Stocked
31;6;2018.03.11;2018.03.13;2018.03.14;11;Stocked
32;27;2018.08.01;2018.08.03;2018.08.04;35;Stocked
33;18;2018.07.25;2018.07.27;2018.07.28;32;Stocked
34;1;2018.07.28;2018.07.30;2018.07.31;47;Stocked
35;23;2018.09.11;2018.09.13;2018.09.14;14;Stocked
36;3;2018.10.09;2018.10.11;2018.10.12;8;Stocked
37;1;2018.07.19;2018.07.21;2018.07.22;37;Stocked
38;22;2018.10.09;2018.10.11;2018.10.12;45;Stocked
39;28;2018.09.01;2018.09.03;2018.09.04;17;Stocked
40;4;2018.07.29;2018.07.31;2018.08.01;16;Stocked
41;17;2018.03.16;2018.03.18;2018.03.19;12;Stocked
42;4;2018.05.02;2018.05.04;2018.05.05;1;Stocked
43;15;2018.10.12;2018.10.14;2018.10.15;48;Stocked
44;24;2018.07.06;2018.07.08;2018.07.09;43;Stocked
45;11;2018.10.19;2018.10.21;2018.10.22;43;Stocked
46;9;2018.05.16;2018.05.18;2018.05.19;14;Stocked
47;22;2018.09.13;2018.09.15;2018.09.16;14;Stocked
50;20;2018.08.15;2018.08.17;2018.08.18;39;Stocked
52;4;2018.06.08;2018.06.10;2018.06.11;46;Stocked
53;25;2018.04.08;2018.04.10;2018.04.11;40;Stocked
54;17;2018.10.24;2018.10.26;2018.10.27;21;Stocked
55;24;2018.09.09;2018.09.11;2018.09.12;12;Stocked
56;24;2018.09.05;2018.09.07;2018.09.08;46;Stocked
57;13;2018.06.25;2018.06.27;2018.06.28;47;Stocked
58;9;2018.05.20;2018.05.22;2018.05.23;28;Stocked
59;21;2018.05.22;2018.05.24;2018.05.25;29;Stocked
60;6;2018.08.13;2018.08.15;2018.08.16;43;Stocked
61;3;2018.10.13;2018.10.15;2018.10.16;37;Stocked
62;1;2018.08.02;2018.08.04;2018.08.05;34;Stocked
63;15;2018.06.21;2018.06.23;2018.06.24;19;Stocked
64;25;2018.08.29;2018.08.31;2018.09.01;23;Stocked
65;20;2018.08.08;2018.08.10;2018.08.11;10;Stocked
66;13;2018.03.12;2018.03.14;2018.03.15;38;Stocked
67;16;2018.10.21;2018.10.23;2018.10.24;50;Stocked
69;15;2018.05.26;2018.05.28;2018.05.29;47;Stocked
70;9;2018.08.13;2018.08.15;2018.08.16;11;Stocked
71;1;2018.08.08;2018.08.10;2018.08.11;14;Stocked
72;15;2018.08.09;2018.08.11;2018.08.12;19;Stocked
73;22;2018.06.04;2018.06.06;2018.06.07;39;Stocked
74;12;2018.10.05;2018.10.07;2018.10.08;32;Stocked
75;28;2018.04.15;2018.04.17;2018.04.18;19;Stocked
76;13;2018.07.29;2018.07.31;2018.08.01;40;Stocked
78;7;2018.11.10;2018.11.12;2018.11.13;37;Stocked
79;7;2018.11.08;2018.11.10;2018.11.11;17;Stocked
80;1;2018.05.26;2018.05.28;2018.05.29;25;Stocked
81;8;2018.10.27;2018.10.29;2018.10.30;3;Stocked
82;5;2018.06.26;2018.06.28;2018.06.29;12;Stocked
83;16;2018.08.23;2018.08.25;2018.08.26;50;Stocked
85;8;2018.04.15;2018.04.17;2018.04.18;11;Stocked
86;13;2018.05.24;2018.05.26;2018.05.27;49;Stocked
87;3;2018.04.25;2018.04.27;2018.04.28;2;Stocked
88;4;2018.09.01;2018.09.03;2018.09.04;5;Stocked
89;14;2018.11.23;2018.11.25;2018.11.26;24;Stocked
90;18;2018.08.25;2018.08.27;2018.08.28;17;Stocked
91;16;2018.06.18;2018.06.20;2018.06.21;18;Stocked
92;13;2018.04.07;2018.04.09;2018.04.10;50;Stocked
94;19;2018.04.08;2018.04.10;2018.04.11;4;Stocked
95;23;2018.05.18;2018.05.20;2018.05.21;15;Stocked
97;5;2018.11.15;2018.11.17;2018.11.18;12;Stocked
98;28;2018.05.23;2018.05.25;2018.05.26;38;Stocked
99;24;2018.12.12;2018.12.14;2018.12.15;47;Stocked
100;15;2018.10.06;2018.10.08;2018.10.09;17;Stocked
102;17;2018.10.29;2018.10.31;2018.11.01;21;Stocked
103;22;2018.09.28;2018.09.30;2018.10.01;23;Stocked
104;13;2018.10.30;2018.11.01;2018.11.02;7;Stocked
105;29;2018.12.20;2018.12.22;2018.12.23;17;Stocked
106;26;2018.09.18;2018.09.20;2018.09.21;48;Stocked
107;28;2018.10.14;2018.10.16;2018.10.17;9;Stocked
108;19;2018.05.14;2018.05.16;2018.05.17;9;Stocked
109;4;2018.07.09;2018.07.11;2018.07.12;45;Stocked
110;27;2018.11.12;2018.11.14;2018.11.15;11;Stocked
111;19;2018.07.29;2018.07.31;2018.08.01;35;Stocked
113;4;2018.07.10;2018.07.12;2018.07.13;27;Stocked
114;12;2018.05.17;2018.05.19;2018.05.20;30;Stocked
116;21;2018.08.19;2018.08.21;2018.08.22;50;Stocked
118;24;2018.08.19;2018.08.21;2018.08.22;44;Stocked
119;10;2018.06.05;2018.06.07;2018.06.08;24;Stocked
120;23;2018.09.04;2018.09.06;2018.09.07;28;Stocked
121;16;2018.06.28;2018.06.30;2018.07.01;33;Stocked
122;30;2018.05.28;2018.05.30;2018.05.31;35;Stocked
123;20;2018.07.26;2018.07.28;2018.07.29;1;Stocked
124;21;2018.07.24;2018.07.26;2018.07.27;41;Stocked
125;13;2018.05.11;2018.05.13;2018.05.14;16;Stocked
126;6;2018.10.10;2018.10.12;2018.10.13;34;Stocked
127;15;2018.11.22;2018.11.24;2018.11.25;5;Stocked
129;1;2018.11.18;2018.11.20;2018.11.21;38;Stocked
130;27;2018.11.20;2018.11.22;2018.11.23;37;Stocked
131;6;2018.12.12;2018.12.14;2018.12.15;15;Stocked
133;27;2018.10.25;2018.10.27;2018.10.28;45;Stocked
134;4;2018.07.04;2018.07.06;2018.07.07;6;Stocked
135;11;2018.10.18;2018.10.20;2018.10.21;18;Stocked
136;15;2018.09.02;2018.09.04;2018.09.05;14;Stocked
137;29;2018.10.28;2018.10.30;2018.10.31;37;Stocked
138;26;2018.08.14;2018.08.16;2018.08.17;40;Stocked
139;25;2018.06.01;2018.06.03;2018.06.04;24;Stocked
140;5;2018.10.25;2018.10.27;2018.10.28;7;Stocked
141;30;2018.10.30;2018.11.01;2018.11.02;42;Stocked
143;28;2018.05.31;2018.06.02;2018.06.03;41;Stocked
144;18;2018.05.26;2018.05.28;2018.05.29;50;Stocked
145;30;2018.11.28;2018.11.30;2018.12.01;44;Stocked
146;28;2018.11.29;2018.12.01;2018.12.02;3;Stocked
147;10;2018.09.02;2018.09.04;2018.09.05;14;Stocked
148;24;2018.10.15;2018.10.17;2018.10.18;29;Stocked
149;25;2018.06.07;2018.06.09;2018.06.10;17;Stocked
150;30;2018.09.15;2018.09.17;2018.09.18;26;Stocked
151;26;2018.12.22;2018.12.24;2018.12.25;29;Stocked
152;21;2019.02.06;2019.02.08;2019.02.09;29;Stocked
153;3;2018.11.15;2018.11.17;2018.11.18;19;Stocked
154;7;2018.07.01;2018.07.03;2018.07.04;41;Stocked
155;6;2018.12.05;2018.12.07;2018.12.08;45;Stocked
156;5;2018.09.23;2018.09.25;2018.09.26;43;Stocked
157;21;2019.01.25;2019.01.27;2019.01.28;19;Stocked
158;18;2018.11.20;2018.11.22;2018.11.23;43;Stocked
159;28;2018.10.27;2018.10.29;2018.10.30;47;Stocked
160;5;2018.07.21;2018.07.23;2018.07.24;21;Stocked
161;4;2019.01.17;2019.01.19;2019.01.20;40;Stocked
163;23;2018.09.11;2018.09.13;2018.09.14;19;Stocked
165;27;2018.09.19;2018.09.21;2018.09.22;48;Stocked
166;12;2018.06.20;2018.06.22;2018.06.23;46;Stocked
167;16;2018.06.23;2018.06.25;2018.06.26;23;Stocked
168;7;2018.09.12;2018.09.14;2018.09.15;12;Stocked
170;25;2018.10.12;2018.10.14;2018.10.15;15;Stocked
171;3;2019.01.15;2019.01.17;2019.01.18;22;Stocked
172;27;2018.12.28;2018.12.30;2018.12.31;19;Stocked
173;5;2019.01.15;2019.01.17;2019.01.18;49;Stocked
174;2;2018.09.12;2018.09.14;2018.09.15;11;Stocked
175;28;2018.07.13;2018.07.15;2018.07.16;7;Stocked
176;17;2019.02.07;2019.02.09;2019.02.10;30;Stocked
177;7;2018.10.25;2018.10.27;2018.10.28;13;Stocked
178;1;2018.10.07;2018.10.09;2018.10.10;22;Stocked
179;24;2019.01.03;2019.01.05;2019.01.06;31;Stocked
180;10;2019.02.11;2019.02.13;2019.02.14;43;Stocked
181;13;2018.12.26;2018.12.28;2018.12.29;43;Stocked
182;23;2018.10.02;2018.10.04;2018.10.05;3;Stocked
183;1;2019.02.15;2019.02.17;2019.02.18;18;Stocked
184;2;2018.10.13;2018.10.15;2018.10.16;30;Stocked
185;8;2019.02.14;2019.02.16;2019.02.17;36;Stocked
186;27;2019.01.13;2019.01.15;2019.01.16;47;Stocked
187;14;2018.08.10;2018.08.12;2018.08.13;10;Stocked
188;14;2018.08.30;2018.09.01;2018.09.02;48;Stocked
189;18;2019.01.28;2019.01.30;2019.01.31;50;Stocked
190;3;2018.10.15;2018.10.17;2018.10.18;33;Stocked
191;6;2018.08.23;2018.08.25;2018.08.26;18;Stocked
192;24;2018.11.30;2018.12.02;2018.12.03;9;Stocked
193;13;2019.02.06;2019.02.08;2019.02.09;22;Stocked
195;26;2018.08.22;2018.08.24;2018.08.25;43;Stocked
196;8;2018.10.18;2018.10.20;2018.10.21;50;Stocked
197;2;2018.08.08;2018.08.10;2018.08.11;46;Stocked
198;15;2019.03.06;2019.03.08;2019.03.09;31;Stocked
199;24;2018.09.23;2018.09.25;2018.09.26;7;Stocked
201;23;2018.07.26;2018.07.28;2018.07.29;31;Stocked
202;28;2019.02.04;2019.02.06;2019.02.07;28;Stocked
203;26;2018.08.25;2018.08.27;2018.08.28;14;Stocked
204;7;2019.01.12;2019.01.14;2019.01.15;34;Stocked
205;30;2018.12.22;2018.12.24;2018.12.25;50;Stocked
206;27;2019.03.26;2019.03.28;2019.03.29;44;Stocked
207;26;2019.03.25;2019.03.27;2019.03.28;22;Stocked
208;6;2018.09.11;2018.09.13;2018.09.14;22;Stocked
209;2;2018.12.24;2018.12.26;2018.12.27;23;Stocked
210;19;2018.11.29;2018.12.01;2018.12.02;43;Stocked
211;2;2018.08.25;2018.08.27;2018.08.28;31;Stocked
212;5;2018.09.03;2018.09.05;2018.09.06;40;Stocked
213;7;2019.04.07;2019.04.09;2019.04.10;12;Stocked
214;16;2019.04.08;2019.04.10;2019.04.11;44;Stocked
215;19;2018.09.20;2018.09.22;2018.09.23;9;Stocked
216;6;2018.09.01;2018.09.03;2018.09.04;34;Stocked
217;17;2019.02.14;2019.02.16;2019.02.17;3;Stocked
218;4;2019.04.07;2019.04.09;2019.04.10;40;Stocked
219;24;2019.03.03;2019.03.05;2019.03.06;42;Stocked
220;4;2019.03.02;2019.03.04;2019.03.05;44;Stocked
221;5;2018.12.30;2019.01.01;2019.01.02;11;Stocked
222;28;2018.12.13;2018.12.15;2018.12.16;19;Stocked
223;30;2019.01.28;2019.01.30;2019.01.31;4;Stocked
224;9;2018.09.01;2018.09.03;2018.09.04;48;Stocked
226;24;2019.01.06;2019.01.08;2019.01.09;49;Stocked
228;23;2019.01.04;2019.01.06;2019.01.07;7;Stocked
230;10;2018.10.06;2018.10.08;2018.10.09;3;Stocked
232;22;2019.01.16;2019.01.18;2019.01.19;30;Stocked
233;24;2019.03.25;2019.03.27;2019.03.28;42;Stocked
234;7;2018.09.17;2018.09.19;2018.09.20;44;Stocked
235;7;2019.04.23;2019.04.25;2019.04.26;34;Stocked
236;14;2018.11.19;2018.11.21;2018.11.22;35;Stocked
237;20;2018.11.14;2018.11.16;2018.11.17;15;Stocked
238;20;2019.02.15;2019.02.17;2019.02.18;34;Stocked
239;30;2019.03.04;2019.03.06;2019.03.07;23;Stocked
240;9;2019.02.03;2019.02.05;2019.02.06;26;Stocked
242;3;2018.09.27;2018.09.29;2018.09.30;41;Stocked
243;11;2019.03.30;2019.04.01;2019.04.02;23;Stocked
244;23;2018.12.09;2018.12.11;2018.12.12;23;Stocked
246;2;2019.05.08;2019.05.10;2019.05.11;27;Stocked
247;28;2018.10.06;2018.10.08;2018.10.09;1;Stocked
248;9;2019.02.07;2019.02.09;2019.02.10;46;Stocked
249;26;2018.11.29;2018.12.01;2018.12.02;8;Stocked
250;5;2019.03.30;2019.04.01;2019.04.02;43;Stocked
251;23;2019.05.15;2019.05.17;2019.05.18;13;Stocked
252;7;2018.12.10;2018.12.12;2018.12.13;32;Stocked
253;8;2019.04.11;2019.04.13;2019.04.14;17;Stocked
254;23;2019.01.15;2019.01.17;2019.01.18;29;Stocked
256;26;2019.03.22;2019.03.24;2019.03.25;26;Stocked
257;19;2019.04.30;2019.05.02;2019.05.03;16;Stocked
258;27;2018.09.28;2018.09.30;2018.10.01;43;Stocked
259;23;2018.12.14;2018.12.16;2018.12.17;44;Stocked
260;30;2018.12.12;2018.12.14;2018.12.15;32;Stocked
262;11;2019.02.23;2019.02.25;2019.02.26;6;Stocked
263;1;2019.05.02;2019.05.04;2019.05.05;50;Stocked
264;24;2018.10.23;2018.10.25;2018.10.26;9;Stocked
265;25;2018.12.20;2018.12.22;2018.12.23;19;Stocked
266;11;2019.04.20;2019.04.22;2019.04.23;12;Stocked
267;4;2019.04.16;2019.04.18;2019.04.19;26;Stocked
268;9;2019.05.08;2019.05.10;2019.05.11;12;Stocked
269;23;2019.05.03;2019.05.05;2019.05.06;17;Stocked
270;7;2019.02.05;2019.02.07;2019.02.08;26;Stocked
271;11;2019.02.18;2019.02.20;2019.02.21;2;Stocked
272;27;2019.02.02;2019.02.04;2019.02.05;42;Stocked
273;23;2019.04.13;2019.04.15;2019.04.16;3;Stocked
275;10;2019.01.09;2019.01.11;2019.01.12;44;Stocked
276;13;2019.03.20;2019.03.22;2019.03.23;35;Stocked
277;7;2019.02.09;2019.02.11;2019.02.12;45;Stocked
278;30;2019.03.07;2019.03.09;2019.03.10;36;Stocked
279;19;2019.01.15;2019.01.17;2019.01.18;15;Stocked
