inventory_id;product_id;quantity;location_id;rack_no;shelf_no;expiration_date;po_id
67;16;198;5;8;50;2019.05.04;67
68;16;265;5;16;48;2019.09.07;68
69;15;95;4;5;29;2018.12.15;69
70;9;191;2;2;16;2018.12.29;70
71;1;272;2;11;16;2019.10.05;71
72;15;171;3;2;14;2019.10.05;72
73;22;58;3;17;8;2019.10.19;73
74;12;281;2;2;7;2019.07.27;74
75;28;163;1;13;43;2019.06.01;75
76;13;99;2;19;24;2019.12.14;76
77;6;271;1;14;39;2018.12.15;77
78;7;136;2;6;5;2019.11.30;78
79;7;28;5;9;17;2019.01.26;79
80;1;22;5;3;16;2019.02.23;80
81;8;53;5;19;14;2019.04.06;81
82;5;113;5;3;24;2019.08.10;82
83;16;284;5;7;23;2019.08.24;83
84;22;60;2;9;40;2019.04.20;84
85;8;231;4;3;22;2019.05.04;85
86;13;226;5;5;44;2019.06.15;86
87;3;199;1;8;48;2019.08.24;87
88;4;234;1;15;14;2019.06.29;88
89;14;288;3;4;19;2019.09.21;89
90;18;284;3;10;44;2019.06.01;90
91;16;250;1;6;1;2019.04.06;91
92;13;67;3;4;24;2019.05.04;92
93;10;31;4;12;19;2019.03.23;93
94;19;284;3;6;30;2019.06.01;94
95;23;221;3;12;21;2019.08.24;95
96;22;204;2;12;47;2019.04.20;96
97;5;287;2;14;23;2019.08.10;97
98;28;299;4;10;6;2019.06.29;98
99;24;186;2;16;4;2018.12.15;99
100;15;250;2;4;19;2019.06.29;100
101;15;172;1;1;40;2018.12.29;101
102;17;211;2;3;34;2019.12.14;102
103;22;207;3;13;46;2019.10.05;103
104;13;141;1;18;29;2019.10.05;104
105;29;239;4;2;15;2019.08.24;105
106;26;30;1;14;16;2019.04.06;106
107;28;63;1;16;39;2018.12.29;107
108;19;248;3;4;7;2019.11.02;108
109;4;159;5;13;12;2019.12.14;109
110;27;180;4;5;39;2019.09.07;110
111;19;263;4;11;13;2019.07.13;111
112;24;238;1;14;2;2019.08.10;112
113;4;161;1;13;27;2019.03.23;113
114;12;139;4;8;14;2019.07.27;114
115;19;66;4;14;26;2019.02.23;115
116;21;246;2;13;31;2019.11.30;116
117;7;288;4;17;41;2019.08.24;117
118;24;185;2;2;11;2019.05.04;118
119;10;219;4;5;45;2019.01.12;119
120;23;84;1;13;35;2018.12.15;120
121;16;80;1;8;4;2019.04.06;121
122;30;55;4;16;50;2019.12.14;122
123;20;42;2;12;28;2019.11.02;123
124;21;15;3;5;29;2019.04.20;124
125;13;110;1;16;46;2019.06.01;125
126;6;80;1;20;13;2019.06.15;126
127;15;28;3;18;35;2019.01.26;127
128;19;84;4;6;21;2019.01.26;128
129;1;12;3;1;23;2019.04.06;129
130;27;120;5;10;26;2019.09.21;130
131;6;270;3;9;32;2019.07.27;131
132;17;236;1;19;3;2019.03.09;132
133;27;202;1;3;49;2019.09.07;133
134;4;235;2;13;20;2018.12.29;134
135;11;152;1;2;31;2019.05.18;135
136;15;243;5;14;39;2019.11.16;136
137;29;224;4;1;27;2019.11.02;137
138;26;84;2;6;30;2019.06.15;138
139;25;287;5;5;27;2019.08.10;139
140;5;198;3;3;12;2019.02.23;140
141;30;217;4;17;5;2019.11.30;141
142;7;42;5;14;27;2019.09.21;142
143;28;48;4;14;8;2018.12.29;143
144;18;47;2;1;43;2019.09.07;144
145;30;277;2;5;7;2019.12.28;145
146;28;176;2;17;3;2019.11.16;146
147;10;268;3;14;38;2018.12.01;147
148;24;156;2;17;21;2019.08.24;148
149;25;222;1;11;48;2019.12.14;149
150;30;207;3;20;15;2019.03.09;150
151;26;46;1;1;19;2019.12.14;151
152;21;43;2;2;45;2019.04.06;152
153;3;61;4;12;16;2019.08.10;153
154;7;125;5;20;27;2019.06.15;154
155;6;229;2;13;12;2019.03.23;155
156;5;81;2;7;10;2019.08.24;156
157;21;259;3;14;45;2019.02.09;157
158;18;156;2;10;46;2019.02.09;158
159;28;13;5;16;36;2019.05.18;159
160;5;40;5;19;21;2019.04.06;160
161;4;280;5;16;22;2019.04.20;161
162;22;44;3;6;14;2019.03.23;162
163;23;206;4;3;37;2019.08.24;163
164;23;87;1;16;26;2018.12.15;164
165;27;294;1;17;24;2019.09.07;165
166;12;156;5;18;11;2018.12.01;166
167;16;41;5;17;34;2018.12.15;167
168;7;177;2;2;14;2019.11.02;168
169;23;210;2;13;10;2019.11.02;169
170;25;142;1;6;33;2019.09.21;170
171;3;176;5;14;36;2020.01.11;171
172;27;205;1;8;10;2019.05.04;172
173;5;269;4;20;6;2019.06.29;173
174;2;300;2;20;16;2019.11.02;174
175;28;166;4;8;9;2018.12.01;175
176;17;265;1;19;8;2019.09.21;176
177;7;188;3;9;7;2019.07.13;177
178;1;211;1;14;5;2018.12.29;178
179;24;207;3;2;25;2019.09.07;179
180;10;84;1;5;4;2019.06.29;180
181;13;250;1;3;40;2019.05.18;181
182;23;133;4;10;46;2019.04.20;182
183;1;244;5;20;40;2019.01.12;183
184;2;134;3;9;30;2019.05.18;184
185;8;41;1;15;32;2020.01.11;185
186;27;30;3;2;9;2019.08.24;186
187;14;203;4;5;30;2019.01.26;187
188;14;216;5;18;14;2019.04.20;188
189;18;26;4;15;15;2019.12.28;189
190;3;152;3;9;45;2020.01.11;190
191;6;32;5;7;42;2019.08.24;191
192;24;64;3;4;22;2019.08.10;192
193;13;38;3;14;1;2018.12.15;193
194;2;176;3;1;36;2019.06.01;194
195;26;180;2;9;15;2019.04.06;195
196;8;227;1;20;36;2019.03.23;196
197;2;139;2;6;22;2020.01.11;197
198;15;87;2;8;24;2019.06.29;198
199;24;203;4;14;50;2019.12.14;199
200;24;94;1;5;10;2019.01.26;200
201;23;263;4;15;8;2019.04.06;201
202;28;51;3;11;37;2019.09.07;202
203;26;236;2;14;2;2019.01.12;203
204;7;47;2;4;42;2020.01.11;204
205;30;246;4;4;25;2020.01.11;205
206;27;186;5;19;26;2019.07.13;206
207;26;240;2;11;17;2019.08.24;207
208;6;246;4;19;12;2018.12.29;208
209;2;145;4;11;35;2019.04.20;209
210;19;293;5;3;29;2019.11.30;210
211;2;69;4;19;2;2018.12.29;211
212;5;20;5;5;18;2020.01.11;212
213;7;272;1;16;8;2019.02.23;213
214;16;193;3;9;18;2019.10.19;214
215;19;83;2;17;45;2019.08.24;215
216;6;219;4;3;7;2018.12.01;216
217;17;45;1;9;28;2019.03.23;217
218;4;214;4;9;15;2019.01.26;218
219;24;19;5;11;37;2019.10.19;219
220;4;123;1;7;17;2019.01.12;220
221;5;264;5;15;8;2019.11.02;221
222;28;181;5;10;19;2019.08.10;222
223;30;84;1;9;45;2019.08.24;223
224;9;232;2;14;24;2019.11.16;224
225;4;221;4;13;24;2019.10.05;225
226;24;76;5;10;16;2020.01.11;226
227;8;69;1;5;23;2019.02.09;227
228;23;194;3;7;16;2019.06.01;228
229;13;104;5;15;36;2019.10.05;229
230;10;76;5;4;27;2019.12.14;230
231;23;162;4;12;9;2019.11.30;231
232;22;265;3;4;46;2020.01.11;232
233;24;89;1;12;24;2019.07.13;233
234;7;244;1;1;13;2019.03.09;234
235;7;143;5;20;28;2019.01.26;235
236;14;161;1;11;23;2019.06.01;236
237;20;52;5;5;14;2018.12.29;237
238;20;88;4;10;26;2019.09.07;238
239;30;232;3;14;6;2019.09.21;239
240;9;288;3;9;46;2019.03.23;240
241;27;296;1;13;22;2019.10.05;241
242;3;15;3;19;46;2020.01.11;242
243;11;225;5;4;42;2019.11.16;243
244;23;26;3;15;33;2019.06.15;244
245;17;125;5;4;26;2019.04.20;245
246;2;106;2;3;42;2019.02.23;246
247;28;92;5;20;33;2019.06.15;247
248;9;218;5;20;41;2019.05.04;248
249;26;51;3;4;44;2018.12.01;249
250;5;141;3;14;29;2019.08.24;250
251;23;279;4;7;49;2019.01.12;251
252;7;287;3;3;23;2019.06.15;252
253;8;102;5;7;6;2018.12.01;253
254;23;18;5;11;5;2019.02.23;254
255;27;236;5;4;49;2019.05.18;255
256;26;211;4;1;22;2020.01.11;256
257;19;173;5;10;16;2019.10.19;257
258;27;31;5;5;12;2019.05.04;258
259;23;89;1;12;45;2019.03.09;259
260;30;280;4;15;35;2019.04.06;260
261;23;296;5;18;48;2019.01.26;261
262;11;121;5;16;29;2019.05.18;262
263;1;270;5;2;31;2019.04.20;263
264;24;296;3;13;38;2019.06.29;264
265;25;228;3;9;5;2019.06.29;265
266;11;143;4;3;26;2019.09.21;266
267;4;160;4;7;27;2019.06.15;267
268;9;287;3;7;32;2019.02.23;268
269;23;108;5;17;41;2019.07.13;269
270;7;66;2;13;41;2019.02.09;270
271;11;159;4;8;25;2018.12.15;271
272;27;211;5;9;21;2019.01.12;272
273;23;79;2;3;50;2019.01.26;273
274;28;28;5;9;22;2019.07.13;274
275;10;152;1;20;30;2019.02.23;275
276;13;216;1;7;42;2019.11.30;276
277;7;161;4;10;2;2019.11.02;277
278;30;144;5;6;24;2019.03.09;278
279;19;54;1;2;3;2019.07.13;279
280;13;61;1;11;44;2019.06.15;280
281;2;241;2;13;32;2019.04.06;281
282;7;246;1;6;42;2019.09.21;282
283;28;227;4;6;44;2019.12.14;283
284;10;276;2;1;38;2019.02.23;284
285;23;267;2;2;10;2019.09.07;285
286;19;265;4;18;24;2019.12.28;286
287;12;74;2;18;22;2019.11.02;287
288;29;48;4;11;9;2019.11.02;288
289;20;282;1;16;15;2019.07.27;289
290;10;112;5;17;47;2019.08.24;290
291;13;184;2;19;46;2019.07.13;291
292;9;225;2;15;32;2019.05.04;292
293;13;286;1;20;10;2019.07.13;293
294;15;165;5;18;44;2019.03.23;294
295;25;283;4;1;29;2019.05.04;295
296;26;266;2;15;6;2019.04.20;296
297;23;101;3;2;25;2019.12.14;297
298;15;239;1;18;37;2019.06.15;298
299;15;118;4;16;12;2019.01.12;299
300;15;112;2;16;5;2019.09.21;300
301;5;263;2;4;35;2019.11.02;301
302;18;61;4;20;47;2019.06.15;302
303;27;293;2;12;29;2019.01.26;303
304;11;252;4;17;39;2019.07.27;304
305;8;151;4;17;42;2019.06.01;305
306;23;192;3;18;22;2019.12.14;306
307;21;134;4;12;45;2019.02.09;307
308;3;32;1;14;46;2020.01.11;308
309;19;119;2;3;9;2019.04.20;309
310;14;129;3;14;36;2019.03.23;310
311;4;167;2;3;8;2019.02.23;311
312;21;162;3;9;36;2019.05.04;312
313;3;300;1;4;4;2019.07.27;313
314;18;97;5;16;17;2018.12.01;314
315;15;118;2;8;13;2019.10.19;315
316;9;12;1;6;27;2019.04.06;316
317;30;280;4;4;11;2019.11.16;317
318;24;132;3;2;13;2019.05.18;318
319;25;115;3;18;49;2019.09.07;319
320;20;35;2;10;18;2019.04.20;320
321;3;186;1;18;27;2019.02.09;321
322;30;230;2;13;18;2019.05.04;322
323;21;288;3;14;34;2019.01.26;323
324;19;122;2;5;5;2019.05.18;324
325;8;265;3;1;48;2018.12.29;325
326;12;100;4;6;37;2019.12.28;326
327;20;13;4;13;6;2019.08.10;327
328;7;182;1;14;6;2018.12.01;328
329;13;197;1;7;23;2020.01.11;329
330;9;60;4;9;23;2019.08.24;330
331;10;79;3;13;26;2020.01.11;331
332;15;286;2;11;5;2019.01.26;332
333;13;37;1;12;25;2019.01.26;333
334;8;42;5;9;37;2019.02.09;334
335;19;124;5;17;8;2019.07.13;335
336;2;300;2;17;29;2019.08.24;336
337;15;217;4;2;20;2019.10.19;337
338;7;198;5;5;2;2019.04.20;338
339;12;74;4;18;10;2019.11.16;339
340;20;198;5;2;47;2018.12.01;340
341;25;187;4;1;28;2019.03.09;341
342;23;84;1;17;8;2019.05.18;342
343;28;298;4;15;50;2019.02.09;343
344;5;123;5;12;30;2019.01.26;344
345;7;173;4;15;10;2019.05.18;345
346;18;156;2;5;1;2019.02.09;346
347;16;122;2;3;14;2019.06.01;347
348;10;210;4;4;32;2019.11.30;348
349;3;28;1;9;40;2019.08.10;349
350;10;175;3;11;39;2019.12.28;350
351;15;140;4;2;37;2019.04.06;351
352;21;196;1;4;7;2018.12.15;352
353;3;264;5;13;41;2019.04.20;353
354;8;11;2;15;29;2019.02.09;354
355;21;233;3;4;5;2019.09.07;355
356;4;122;2;19;5;2019.03.23;356
357;10;104;1;16;3;2018.12.15;357
358;11;127;1;16;5;2018.12.01;358
359;14;81;2;2;34;2019.01.26;359
360;20;184;3;6;32;2019.11.02;360
361;26;275;4;19;48;2019.06.15;361
362;11;219;4;11;42;2018.12.15;362
363;18;65;4;10;5;2019.02.23;363
364;13;205;1;5;10;2019.04.20;364
365;9;292;1;12;47;2020.01.11;365
366;16;14;1;15;7;2019.01.12;366
367;9;157;3;8;16;2019.05.18;367
368;17;153;3;4;47;2018.12.29;368
369;20;76;5;8;49;2019.07.13;369
370;20;64;5;15;20;2019.10.05;370
371;12;63;1;2;41;2019.03.09;371
372;26;194;5;14;25;2019.11.16;372
373;9;42;1;16;34;2018.12.01;373
374;28;181;2;20;40;2019.02.09;374
375;28;273;4;19;34;2018.12.15;375
376;6;276;4;10;26;2019.01.12;376
377;18;200;1;5;28;2019.11.16;377
378;21;104;5;13;22;2019.08.10;378
379;22;52;4;3;24;2018.12.15;379
380;11;48;4;14;45;2019.05.04;380
381;13;83;3;10;10;2019.08.10;381
382;14;284;3;16;23;2020.01.11;382
383;10;234;3;20;6;2019.07.13;383
384;29;297;5;8;35;2019.02.09;384
385;1;80;1;7;1;2019.04.20;385
386;28;273;1;1;16;2018.12.01;386
387;7;58;5;13;19;2019.06.29;387
388;10;223;3;1;40;2019.12.28;388
389;5;187;2;15;11;2019.08.10;389
390;2;176;2;17;19;2019.01.26;390
391;30;59;4;7;33;2019.01.26;391
392;19;65;4;19;17;2019.10.19;392
393;1;110;1;15;20;2019.04.20;393
394;1;85;4;2;44;2019.11.02;394
395;19;115;1;20;27;2019.01.12;395
396;4;63;3;13;32;2019.01.26;396
397;5;127;5;19;46;2019.11.16;397
398;16;269;3;7;47;2018.12.29;398
399;16;253;3;9;48;2019.10.05;399
400;5;111;4;17;41;2019.01.12;400
401;8;238;1;15;48;2018.12.29;401
402;23;20;2;19;16;2019.01.12;402
403;1;288;1;18;19;2019.04.20;403
404;23;179;1;4;14;2019.02.09;404
405;28;245;1;13;7;2019.07.27;405
406;28;94;2;20;18;2019.09.21;406
407;2;291;2;5;16;2019.07.13;407
408;19;245;2;2;23;2019.10.19;408
409;11;195;1;14;47;2019.04.06;409
410;22;64;2;9;13;2019.10.05;410
411;25;125;4;13;21;2019.08.24;411
412;17;192;4;7;50;2019.07.27;412
413;28;99;1;20;7;2019.07.27;413
414;9;268;5;16;22;2019.10.05;414
415;13;295;1;7;25;2019.07.13;415
416;5;296;5;1;30;2019.08.10;416
417;29;258;1;17;40;2019.08.24;417
418;9;131;1;12;24;2019.06.29;418
419;8;292;3;19;33;2019.07.13;419
420;25;166;1;19;15;2019.03.23;420
421;22;179;4;9;22;2019.03.23;421
422;26;244;4;8;47;2019.07.13;422
423;7;300;5;7;37;2018.12.01;423
424;20;160;4;9;17;2019.11.30;424
425;10;52;5;15;14;2019.06.29;425
